Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
2018-10-16 0:00,479.49,446.89,454.67,,14.91,13.9,14.14
2018-09-16 0:00,479.39,451.72,472.63,,14.91,14.05,14.7
2018-08-17 0:00,482.23,448.33,451.98,,15,13.94,14.06
2018-07-18 0:00,503.7,461.19,471.57,,15.67,14.34,14.67
2018-06-18 0:00,534.59,500.32,500.76,,16.63,15.56,15.58
2018-05-19 0:00,556.68,523.25,532.99,,17.31,16.27,16.58
2018-04-19 0:00,557.95,516.31,528.8,,17.35,16.06,16.45
2018-03-20 0:00,555.05,518.54,553.12,,17.26,16.13,17.2
2018-02-18 0:00,542.1,520.45,525.07,,16.86,16.19,16.33
2018-01-19 0:00,569.02,520.93,535.86,,17.7,16.2,16.67
2017-12-20 0:00,560.04,517.74,545.84,,17.42,16.1,16.98
2017-11-20 0:00,555.39,502.65,518.85,,17.27,15.63,16.14
2017-10-21 0:00,557.81,534.54,555.25,,17.35,16.63,17.27
2017-09-21 0:00,561.43,525.5,547.72,,17.46,16.34,17.04
2017-08-22 0:00,585.43,541.17,550.57,,18.21,16.83,17.12
2017-07-23 0:00,556.31,518.9,547.51,,17.3,16.14,17.03
2017-06-23 0:00,543.39,482.99,531.17,,16.9,15.02,16.52
2017-05-24 0:00,570.49,526.29,534.09,,17.74,16.37,16.61
2017-04-24 0:00,578.89,516.9,548.71,,18.01,16.08,17.07
2017-03-25 0:00,599.79,567.43,574.45,,18.66,17.65,17.87
2017-02-23 0:00,594.32,541.28,571.29,,18.49,16.84,17.77
2017-01-24 0:00,583.32,535.07,579.28,,18.14,16.64,18.02
2016-12-25 0:00,557.28,505.2,553.31,,17.33,15.71,17.21
2016-11-25 0:00,554.17,502.88,506.67,,17.24,15.64,15.76
2016-10-26 0:00,610.88,520.13,526.16,,19,16.18,16.37
2016-09-26 0:00,634.83,550.27,570.8,,19.75,17.12,17.75
2016-08-27 0:00,647.22,591.44,633.66,,20.13,18.4,19.71
2016-07-28 0:00,668.03,594.44,599.91,,20.78,18.49,18.66
2016-06-28 0:00,679.28,563.76,652.4,,21.13,17.53,20.29
2016-05-29 0:00,589.09,508.84,570.64,,18.32,15.83,17.75
2016-04-29 0:00,579.03,518.86,521.87,,18.01,16.14,16.23
2016-03-30 0:00,568.94,475.68,565.84,,17.7,14.8,17.6
2016-02-29 0:00,519,470.02,493.77,,16.14,14.62,15.36
2016-01-30 0:00,512.7,456.7,473.84,,15.95,14.2,14.74
2015-12-31 0:00,468.58,442.27,458.67,,14.57,13.76,14.27
2015-12-01 0:00,470.81,439,446.26,,14.64,13.65,13.88
2015-11-01 0:00,500.44,447.59,452.88,,15.57,13.92,14.09
2015-10-02 0:00,526.09,463.65,500.19,,16.36,14.42,15.56
2015-09-02 0:00,495.85,459.74,467.8,,15.42,14.3,14.55
2015-08-03 0:00,503.59,450.04,469.41,,15.66,14,14.6
2015-07-04 0:00,509.44,462.49,474.07,,15.85,14.39,14.75
2015-06-04 0:00,531.94,498.5,504.81,,16.55,15.51,15.7
2015-05-05 0:00,571.47,519.5,530.96,,17.77,16.16,16.51
2015-04-05 0:00,556.85,502.25,529.4,,17.32,15.62,16.47
2015-03-06 0:00,559.39,491.81,539.3,,17.4,15.3,16.77
2015-02-04 0:00,567.43,517.19,521.84,,17.65,16.09,16.23
2015-01-05 0:00,594.29,506.05,556,,18.48,15.74,17.29
2014-12-06 0:00,556.8,499.69,506.51,,17.32,15.54,15.75
2014-11-06 0:00,539.01,465.08,523.83,,16.77,14.47,16.29
2014-10-07 0:00,572.64,488.14,494.96,,17.81,15.18,15.39
2014-09-07 0:00,621.37,536.31,557.92,,19.33,16.68,17.35
2014-08-08 0:00,648.63,611.15,617.21,,20.17,19.01,19.2
2014-07-09 0:00,693.6,635.12,641.85,,21.57,19.75,19.96
2014-06-09 0:00,684.6,610.7,675.95,,21.29,18.99,21.02
2014-05-10 0:00,642.45,599.46,612.35,,19.98,18.65,19.05
2014-04-10 0:00,655.34,606.4,616.35,,20.38,18.86,19.17
2014-03-11 0:00,700.16,629.67,640.33,,21.78,19.58,19.92
2014-02-09 0:00,712.98,641.31,670.39,,22.18,19.95,20.85
2014-01-10 0:00,662.45,611.68,644.45,,20.6,19.03,20.04
2013-12-11 0:00,658.58,602.94,630.09,,20.48,18.75,19.6
2013-11-11 0:00,690.45,607.82,655.65,,21.48,18.91,20.39
2013-10-12 0:00,742.43,660.01,689.04,,23.09,20.53,21.43
2013-09-12 0:00,752.91,664.03,686.39,,23.42,20.65,21.35
2013-08-13 0:00,807.76,680.57,744.76,,25.12,21.17,23.16
2013-07-14 0:00,690.6,617.68,685.73,,21.48,19.21,21.33
2013-06-14 0:00,723.02,586.35,641.76,,22.49,18.24,19.96
2013-05-15 0:00,756.17,651.33,702.28,,23.52,20.26,21.84
2013-04-15 0:00,839.73,710.49,755.5,,26.12,22.1,23.5
2013-03-16 0:00,943.28,831.97,836.46,,29.34,25.88,26.02
2013-02-14 0:00,1000.35,899.28,925.92,,31.11,27.97,28.8
2013-01-15 0:00,1043.91,986.2,990.41,,32.47,30.67,30.81
2012-12-16 0:00,1047.29,940.55,1000.13,,32.57,29.25,31.11
2012-11-16 0:00,1106.44,1031.99,1038.12,,34.41,32.1,32.29
2012-10-17 0:00,1072.37,986.64,1049.5,,33.35,30.69,32.64
2012-09-17 0:00,1137.46,1048.15,1065.44,,35.38,32.6,33.14
2012-08-18 0:00,1123.74,899.88,1117.67,,34.95,27.99,34.76
2012-07-19 0:00,915.31,857.53,903.42,,28.47,26.67,28.1
2012-06-19 0:00,932.35,841.81,874.61,,29,26.18,27.2
2012-05-20 0:00,963.22,873.38,925.81,,29.96,27.17,28.8
2012-04-20 0:00,1027.68,865.05,924.79,,31.96,26.91,28.76
2012-03-21 0:00,1070.92,998.06,1020.6,,33.31,31.04,31.74
2012-02-20 0:00,1205.09,1017.59,1031.69,,37.48,31.65,32.09
2012-01-21 0:00,1110.79,1015.78,1081.4,,34.55,31.59,33.64
2011-12-22 0:00,1036.52,843.61,1036.36,,32.24,26.24,32.23
2011-11-22 0:00,1082.65,904.86,943.42,,33.67,28.14,29.34
2011-10-23 0:00,1146.95,987,1013.53,,35.67,30.7,31.52
2011-09-23 0:00,1177.98,841.18,1009.19,,36.64,26.16,31.39
2011-08-24 0:00,1395.63,1144.41,1166.06,,43.41,35.6,36.27
2011-07-25 0:00,1420.44,1192.67,1357.56,,44.18,37.1,42.22
2011-06-25 0:00,1315.1,1074.61,1301.41,,40.9,33.42,40.48
2011-05-26 0:00,1249.67,1099.85,1103.55,,38.87,34.21,34.32
2011-04-26 0:00,1594.16,1043.05,1218.14,,49.58,32.44,37.89
2011-03-27 0:00,1595.69,1172.81,1493.96,,49.63,36.48,46.47
2011-02-25 0:00,1228.61,1041.34,1201.12,,38.21,32.39,37.36
2011-01-26 0:00,1104.36,850.29,1043.42,,34.35,26.45,32.45
2010-12-27 0:00,1005.65,854.87,863.97,,31.28,26.59,26.87
2010-11-27 0:00,987.97,852.29,928.38,,30.73,26.51,28.88
2010-10-28 0:00,943.14,755.2,859.69,,29.33,23.49,26.74
