Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,US Dollar D
2003-11-01,0.70,0.02,0.05,0.17,0.21,-2.52
2003-12-01,1.15,-0.06,-0.12,-0.29,-0.31,-3.29
2004-01-01,1.95,0.08,0.05,0.08,0.11,0.28
2004-02-01,0.60,0.06,0.01,-0.13,-0.05,0.11
2004-03-01,2.01,-0.04,0.18,0.45,0.32,0.30
2004-04-01,0.01,0.08,0.32,0.43,0.34,2.87
2004-05-01,3.53,0.24,0.33,0.08,0.03,-1.53
2004-06-01,-2.22,0.07,-0.02,-0.23,-0.23,-0.15
2004-07-01,2.66,0.21,0.02,-0.05,-0.01,1.16
2004-08-01,4.21,0.10,0.00,-0.27,-0.34,-1.02
2004-09-01,0.92,0.10,0.10,-0.01,-0.04,-1.58
2004-10-01,7.40,0.21,0.15,0.02,-0.09,-2.45
2004-11-01,-4.73,0.21,0.28,0.24,0.23,-3.09
2004-12-01,-5.25,0.13,0.17,0.09,-0.03,-0.97
2005-01-01,3.62,0.19,0.15,0.05,-0.06,2.75
2005-02-01,1.09,0.22,0.28,0.41,0.35,-1.09
2005-03-01,6.06,0.16,0.16,0.01,0.04,1.55
2005-04-01,-1.08,-0.07,-0.14,-0.32,-0.39,0.37
2005-05-01,-3.06,0.27,0.18,0.09,0.04,3.33
2005-06-01,6.48,0.09,0.10,0.02,-0.02,1.35
2005-07-01,2.28,0.39,0.40,0.33,0.28,0.24
2005-08-01,6.29,-0.18,-0.20,-0.30,-0.25,-1.77
2005-09-01,0.67,0.28,0.31,0.30,0.24,1.94
2005-10-01,-3.27,0.00,-0.04,-0.07,-0.13,0.55
2005-11-01,-4.06,0.18,0.21,0.15,0.14,1.50
2005-12-01,1.06,0.15,-0.11,-0.24,-0.25,-0.40
2006-01-01,5.85,0.37,0.41,0.39,0.33,-2.21
2006-02-01,-3.68,0.32,0.32,0.37,0.38,1.15
2006-03-01,1.36,-0.14,-0.12,-0.06,0.02,-0.38
2006-04-01,6.64,0.14,0.13,0.12,0.15,-3.62
2006-05-01,1.42,0.29,0.38,0.29,0.22,-1.39
2006-06-01,-0.02,-0.08,-0.19,-0.27,-0.26,0.50
2006-07-01,3.43,0.26,0.11,0.02,0.03,0.08
2006-08-01,-1.32,-0.40,-0.34,-0.38,-0.38,-0.25
2006-09-01,-8.97,0.12,0.04,0.03,0.02,0.92
2006-10-01,-5.22,0.03,0.00,-0.10,-0.13,-0.65
